#X	Y	log2	log10
504307	13	3.70044	1.11394
504311	14	3.80735	1.14613
504323	9	3.16993	0.954243
504337	9	3.16993	0.954243
504349	11	3.45943	1.04139
504353	9	3.16993	0.954243
504359	11	3.45943	1.04139
504377	11	3.45943	1.04139
504379	12	3.58496	1.07918
504389	10	3.32193	1
504403	11	3.45943	1.04139
504457	10	3.32193	1
504461	11	3.45943	1.04139
504473	11	3.45943	1.04139
504479	13	3.70044	1.11394
504521	11	3.45943	1.04139
504523	12	3.58496	1.07918
504527	13	3.70044	1.11394
504547	12	3.58496	1.07918
504563	13	3.70044	1.11394
504593	10	3.32193	1
504599	12	3.58496	1.07918
504607	13	3.70044	1.11394
504617	11	3.45943	1.04139
504619	12	3.58496	1.07918
504631	13	3.70044	1.11394
504661	12	3.58496	1.07918
504667	13	3.70044	1.11394
504671	14	3.80735	1.14613
504677	12	3.58496	1.07918
504683	13	3.70044	1.11394
504727	13	3.70044	1.11394
504767	15	3.90689	1.17609
504787	13	3.70044	1.11394
504797	14	3.80735	1.14613
504799	15	3.90689	1.17609
504817	13	3.70044	1.11394
504821	14	3.80735	1.14613
504851	10	3.32193	1
504853	10	3.32193	1
504857	10	3.32193	1
504871	11	3.45943	1.04139
504877	11	3.45943	1.04139
504893	12	3.58496	1.07918
504901	10	3.32193	1
504929	10	3.32193	1
504937	11	3.45943	1.04139
504943	13	3.70044	1.11394
504947	12	3.58496	1.07918
504953	12	3.58496	1.07918
504967	11	3.45943	1.04139
504983	12	3.58496	1.07918
504989	12	3.58496	1.07918
504991	13	3.70044	1.11394
505027	11	3.45943	1.04139
505031	12	3.58496	1.07918
505033	11	3.45943	1.04139
505049	12	3.58496	1.07918
505051	13	3.70044	1.11394
505061	12	3.58496	1.07918
505067	13	3.70044	1.11394
505073	12	3.58496	1.07918
505091	10	3.32193	1
505097	10	3.32193	1
505111	12	3.58496	1.07918
505117	12	3.58496	1.07918
505123	11	3.45943	1.04139
505129	11	3.45943	1.04139
505139	12	3.58496	1.07918
505157	11	3.45943	1.04139
505159	12	3.58496	1.07918
505181	13	3.70044	1.11394
505187	12	3.58496	1.07918
505201	12	3.58496	1.07918
505213	14	3.80735	1.14613
505231	13	3.70044	1.11394
505237	12	3.58496	1.07918
505277	14	3.80735	1.14613
505279	15	3.90689	1.17609
505283	12	3.58496	1.07918
505301	13	3.70044	1.11394
505313	12	3.58496	1.07918
505319	14	3.80735	1.14613
505321	13	3.70044	1.11394
505327	15	3.90689	1.17609
505339	15	3.90689	1.17609
505357	11	3.45943	1.04139
505367	12	3.58496	1.07918
505369	11	3.45943	1.04139
505399	13	3.70044	1.11394
505409	10	3.32193	1
505411	11	3.45943	1.04139
505429	12	3.58496	1.07918
505447	13	3.70044	1.11394
505459	13	3.70044	1.11394
505469	14	3.80735	1.14613
505481	11	3.45943	1.04139
505493	12	3.58496	1.07918
505501	13	3.70044	1.11394
505511	13	3.70044	1.11394
505513	12	3.58496	1.07918
505523	13	3.70044	1.11394
505537	11	3.45943	1.04139
505559	14	3.80735	1.14613
505573	13	3.70044	1.11394
505601	10	3.32193	1
505607	12	3.58496	1.07918
505613	12	3.58496	1.07918
505619	12	3.58496	1.07918
505633	11	3.45943	1.04139
505639	13	3.70044	1.11394
505643	13	3.70044	1.11394
505657	13	3.70044	1.11394
505663	15	3.90689	1.17609
505669	12	3.58496	1.07918
505691	14	3.80735	1.14613
505693	14	3.80735	1.14613
505709	14	3.80735	1.14613
505711	15	3.90689	1.17609
505727	16	4	1.20412
505759	15	3.90689	1.17609
505763	13	3.70044	1.11394
505777	13	3.70044	1.11394
505781	14	3.80735	1.14613
505811	14	3.80735	1.14613
505819	15	3.90689	1.17609
505823	16	4	1.20412
505867	10	3.32193	1
505871	11	3.45943	1.04139
505877	10	3.32193	1
505907	11	3.45943	1.04139
505919	13	3.70044	1.11394
505927	11	3.45943	1.04139
505949	12	3.58496	1.07918
505961	11	3.45943	1.04139
505969	11	3.45943	1.04139
505979	13	3.70044	1.11394
506047	14	3.80735	1.14613
506071	13	3.70044	1.11394
506083	12	3.58496	1.07918
506101	13	3.70044	1.11394
506113	9	3.16993	0.954243
506119	11	3.45943	1.04139
506131	11	3.45943	1.04139
506147	11	3.45943	1.04139
506171	13	3.70044	1.11394
506173	13	3.70044	1.11394
506183	12	3.58496	1.07918
506201	12	3.58496	1.07918
506213	12	3.58496	1.07918
506251	12	3.58496	1.07918
506263	13	3.70044	1.11394
506269	13	3.70044	1.11394
506281	12	3.58496	1.07918
506291	13	3.70044	1.11394
506327	14	3.80735	1.14613
506329	13	3.70044	1.11394
506333	14	3.80735	1.14613
506339	13	3.70044	1.11394
506347	14	3.80735	1.14613
506351	15	3.90689	1.17609
506357	14	3.80735	1.14613
506381	11	3.45943	1.04139
506393	11	3.45943	1.04139
506417	11	3.45943	1.04139
506423	13	3.70044	1.11394
506449	11	3.45943	1.04139
506459	13	3.70044	1.11394
506461	13	3.70044	1.11394
506479	14	3.80735	1.14613
506491	14	3.80735	1.14613
506501	11	3.45943	1.04139
506507	12	3.58496	1.07918
506531	12	3.58496	1.07918
506533	12	3.58496	1.07918
506537	12	3.58496	1.07918
506551	14	3.80735	1.14613
506563	12	3.58496	1.07918
506573	13	3.70044	1.11394
506591	15	3.90689	1.17609
506593	12	3.58496	1.07918
506599	14	3.80735	1.14613
506609	13	3.70044	1.11394
506629	11	3.45943	1.04139
506647	13	3.70044	1.11394
506663	13	3.70044	1.11394
506683	14	3.80735	1.14613
506687	15	3.90689	1.17609
506689	11	3.45943	1.04139
506699	13	3.70044	1.11394
506729	13	3.70044	1.11394
506731	14	3.80735	1.14613
506743	15	3.90689	1.17609
506773	13	3.70044	1.11394
506783	15	3.90689	1.17609
506791	14	3.80735	1.14613
506797	14	3.80735	1.14613
506809	14	3.80735	1.14613
506837	14	3.80735	1.14613
506843	15	3.90689	1.17609
506861	15	3.90689	1.17609
506873	15	3.90689	1.17609
506887	11	3.45943	1.04139
506893	11	3.45943	1.04139
506899	11	3.45943	1.04139
506903	12	3.58496	1.07918
506911	13	3.70044	1.11394
506929	11	3.45943	1.04139
506941	13	3.70044	1.11394
506963	12	3.58496	1.07918
506983	13	3.70044	1.11394
506993	12	3.58496	1.07918
506999	14	3.80735	1.14613
507029	12	3.58496	1.07918
507049	12	3.58496	1.07918
507071	15	3.90689	1.17609
507077	12	3.58496	1.07918
507079	13	3.70044	1.11394
507103	15	3.90689	1.17609
507109	13	3.70044	1.11394
507113	13	3.70044	1.11394
507119	15	3.90689	1.17609
507137	10	3.32193	1
507139	11	3.45943	1.04139
507149	12	3.58496	1.07918
507151	13	3.70044	1.11394
507163	13	3.70044	1.11394
507193	13	3.70044	1.11394
507197	14	3.80735	1.14613
507217	12	3.58496	1.07918
507289	13	3.70044	1.11394
507301	13	3.70044	1.11394
507313	13	3.70044	1.11394
507317	14	3.80735	1.14613
507329	12	3.58496	1.07918
507347	14	3.80735	1.14613
507349	14	3.80735	1.14613
507359	16	4	1.20412
507361	13	3.70044	1.11394
507371	15	3.90689	1.17609
507383	16	4	1.20412
507401	11	3.45943	1.04139
507421	13	3.70044	1.11394
507431	13	3.70044	1.11394
507461	12	3.58496	1.07918
507491	13	3.70044	1.11394
507497	13	3.70044	1.11394
507499	14	3.80735	1.14613
507503	15	3.90689	1.17609
507523	12	3.58496	1.07918
507557	13	3.70044	1.11394
507571	14	3.80735	1.14613
507589	13	3.70044	1.11394
507593	13	3.70044	1.11394
507599	15	3.90689	1.17609
507607	15	3.90689	1.17609
507631	16	4	1.20412
507641	15	3.90689	1.17609
507667	13	3.70044	1.11394
507673	13	3.70044	1.11394
507691	14	3.80735	1.14613
507697	13	3.70044	1.11394
507713	12	3.58496	1.07918
507719	14	3.80735	1.14613
507743	16	4	1.20412
507757	15	3.90689	1.17609
507779	13	3.70044	1.11394
507781	13	3.70044	1.11394
507797	14	3.80735	1.14613
507803	15	3.90689	1.17609
507809	13	3.70044	1.11394
507821	15	3.90689	1.17609
507827	15	3.90689	1.17609
507839	17	4.08746	1.23045
507883	16	4	1.20412
507901	17	4.08746	1.23045
507907	7	2.80735	0.845098
507917	8	3	0.90309
507919	9	3.16993	0.954243
507937	7	2.80735	0.845098
507953	8	3	0.90309
507961	9	3.16993	0.954243
507971	8	3	0.90309
507979	9	3.16993	0.954243
508009	9	3.16993	0.954243
508019	10	3.32193	1
508021	10	3.32193	1
508033	7	2.80735	0.845098
508037	8	3	0.90309
508073	9	3.16993	0.954243
508087	11	3.45943	1.04139
508091	11	3.45943	1.04139
508097	8	3	0.90309
508103	10	3.32193	1
508129	9	3.16993	0.954243
508159	13	3.70044	1.11394
508171	9	3.16993	0.954243
508187	10	3.32193	1
508213	10	3.32193	1
508223	12	3.58496	1.07918
508229	9	3.16993	0.954243
508237	10	3.32193	1
508243	10	3.32193	1
508259	10	3.32193	1
508271	12	3.58496	1.07918
508273	10	3.32193	1
508297	9	3.16993	0.954243
508301	10	3.32193	1
508327	11	3.45943	1.04139
508331	11	3.45943	1.04139
508349	12	3.58496	1.07918
508363	11	3.45943	1.04139
508367	12	3.58496	1.07918
508373	11	3.45943	1.04139
508393	11	3.45943	1.04139
508433	8	3	0.90309
508439	10	3.32193	1
508451	9	3.16993	0.954243
